H2 0101-1-1  25/ 9/12                 0         0         0  (未使用) 0 0     
H2                                                                            
H2                                                                            
H3             泉田                               様        F-0003            
H2 平成25年10月7日                                                            
H2 長崎市                                                                     
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
H2                                                                            
D2 泉田ﾋﾞﾙ2F改修工事-1(9月出来高分)                  0       0        0 0 0   
D2   1.既設解体処分(畳含む)工事 計270,000円 坪      15   18000   270000 0 0   
D2   2.木工事                 計1,202,000円          0       0        0 0 0   
D2    ①天井面ｸﾛｽ下地工事                   ㎡      46    6000   276000 0 0   
D2    ②壁面　ｸﾛｽ下地工事                   ㎡     100    4000   400000 0 0   
D2    ③床面  ﾌﾛ-ﾘﾝｸﾞ下地工事               ㎡      40    9000   360000 0 0   
D2   3.家具･建具工事            計730,000円          0       0        0 0 0   
D2    ①片開きﾄﾞｱ(枠･建て付け共)            箇所     2   90000   180000 0 0   
D2    ②片引き違い (同上)                   箇所     1  110000   110000 0 0   
D2    ③ｸﾛ-ｾﾞｯﾄ建具(同上)                   箇所     2  130000   260000 0 0   
D2    ④窓枠造作(既製品)                    箇所     5   25000   125000 0 0   
D2    ⑤下駄箱                              式       1      00       00 0 0   
D2   4.電気工事(配線-材工共)    計235,000円          0       0        0 0 0   
D2    ①電灯工事                            箇所    00    5000       00 0 0   
D2    ②ｽｲｯﾁ･ｺﾝｾﾝﾄ工事                      箇所    00    6000       00 0 0   
M2                                                                            
M2                                                                            
M2                                                                            
D2    ③ｴｱｺﾝ専用回路(ｱ-ｽ付き)               箇所    00   20000       00 0 0   
D2    ④照明器具                            箇所    00   20000       00 0 0   
D2   5.ｸﾛｽ工事(天井･壁)                     ㎡      00    1200       00 0 0   
D2   6.産廃処分費                           式       1   45000    45000 0 0   
D2   7.諸経費(設計･現場管理費含)            式       1  100000   100000 0 0   
